Model,R² Score,MAE,RMSE
Linear Regression,0.8110309829763469,21.778349939021837,26.69884799449572
Random Forest,0.946651549338863,8.558633338190527,14.185940253033602
XGBoost,0.9467632221375579,8.56266059990169,14.17108496172674
